cpe23Uri,lastModifiedDate,cpe_version,part,vendor,product,version,update,edition,language,sw_edition,target_sw,target_hw,other,Official_website
"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:16:-:*:*:*:*:*:*",2021-05-26T14:12Z,2.3,o,siemens,"simatic_hmi_comfort_panels_4\""_firmware",16,-,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_panels_4%5C""_firmware%3A16%3A-%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:16:update2:*:*:*:*:*:*",2021-12-08T21:44Z,2.3,o,siemens,"simatic_hmi_comfort_panels_4\""_firmware",16,update2,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_panels_4%5C""_firmware%3A16%3Aupdate2%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:16:update3:*:*:*:*:*:*",2021-12-08T21:44Z,2.3,o,siemens,"simatic_hmi_comfort_panels_4\""_firmware",16,update3,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_panels_4%5C""_firmware%3A16%3Aupdate3%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:16:update1:*:*:*:*:*:*",2021-12-08T21:44Z,2.3,o,siemens,"simatic_hmi_comfort_panels_4\""_firmware",16,update1,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_panels_4%5C""_firmware%3A16%3Aupdate1%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:16:-:*:*:*:*:*:*",2021-05-26T14:12Z,2.3,o,siemens,"simatic_hmi_comfort_panels_22\""_firmware",16,-,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_panels_22%5C""_firmware%3A16%3A-%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:16:update1:*:*:*:*:*:*",2021-12-08T21:44Z,2.3,o,siemens,"simatic_hmi_comfort_panels_22\""_firmware",16,update1,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_panels_22%5C""_firmware%3A16%3Aupdate1%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:16:update2:*:*:*:*:*:*",2021-12-08T21:44Z,2.3,o,siemens,"simatic_hmi_comfort_panels_22\""_firmware",16,update2,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_panels_22%5C""_firmware%3A16%3Aupdate2%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:16:update3:*:*:*:*:*:*",2021-12-08T21:44Z,2.3,o,siemens,"simatic_hmi_comfort_panels_22\""_firmware",16,update3,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_panels_22%5C""_firmware%3A16%3Aupdate3%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:15.1:update1:*:*:*:*:*:*",2021-12-09T20:19Z,2.3,o,siemens,"simatic_hmi_comfort_outdoor_panels_7\""_firmware",15.1,update1,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_7%5C""_firmware%3A15.1%3Aupdate1%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:15.1:update2:*:*:*:*:*:*",2021-12-09T20:19Z,2.3,o,siemens,"simatic_hmi_comfort_outdoor_panels_7\""_firmware",15.1,update2,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_7%5C""_firmware%3A15.1%3Aupdate2%3A*%3A*%3A*%3A*%3A*%3A*"
